id,test,True Positive,False Positive
12,"['American_Airlines_Group', 'Doug_Parker']","[""keyPerson('American_Airlines_Group', 'Doug_Parker_(airline_executive)') 1.0""]","[""not_keyPerson('Doug_Parker_(airline_executive)', 'American_Airlines_Group') 1.0"", ""not_keyPerson('American_Airlines_Group', 'Doug_Parker_(airline_executive)') 1.0""]"
51,"['EBay', 'John_Donahoe']","[""keyPerson('EBay', 'John_Donahoe') 1.0""]","[""not_keyPerson('EBay', 'John_Donahoe') 1.0""]"
54,"['ExxonMobil', 'Rex_Tillerson']","[""keyPerson('ExxonMobil', 'Rex_Tillerson') 1.0"", ""keyPerson('Rex_Tillerson', 'ExxonMobil') 1.0"", ""keyPerson('Rex_Tillerson__1', 'ExxonMobil') 1.0""]","[""not_keyPerson('ExxonMobil', 'Rex_Tillerson') 1.0"", ""not_keyPerson('Rex_Tillerson', 'ExxonMobil') 1.0"", ""not_keyPerson('Rex_Tillerson__1', 'ExxonMobil') 1.0""]"
55,"['Facebook', 'Mark_Zuckerberg']","[""keyPerson('Facebook_Messenger', 'Mark_Zuckerberg') 1.0"", ""keyPerson('Facebook', 'Mark_Zuckerberg') 1.0""]","[""not_keyPerson('Facebook_Messenger', 'Mark_Zuckerberg') 1.0"", ""not_keyPerson('Facebook', 'Mark_Zuckerberg') 1.0""]"
56,"['FedEx', 'Frederick_W._Smith']","[""keyPerson('FedEx_Express', 'Frederick_W._Smith') 1.0"", ""keyPerson('FedEx', 'Frederick_W._Smith') 1.0"", ""keyPerson('FedEx_Ground', 'Frederick_W._Smith') 1.0"", ""keyPerson('FedEx_Freight', 'Frederick_W._Smith') 1.0"", ""keyPerson('FedEx_Office', 'Frederick_W._Smith') 1.0""]","[""not_keyPerson('FedEx_Express', 'Frederick_W._Smith') 1.0"", ""not_keyPerson('FedEx', 'Frederick_W._Smith') 1.0"", ""not_keyPerson('FedEx_Ground', 'Frederick_W._Smith') 1.0"", ""not_keyPerson('FedEx_Freight', 'Frederick_W._Smith') 1.0"", ""not_keyPerson('FedEx_Office', 'Frederick_W._Smith') 1.0""]"
67,"['GMA_Network', 'Felipe_Gozon']","[""keyPerson('GMA_Network', 'Felipe_Gozon') 1.0"", ""keyPerson('List_of_GMA_Network_radio_stations', 'Felipe_Gozon') 1.0"", ""keyPerson('GMA_Network_(company)', 'Felipe_Gozon') 1.0"", ""keyPerson('Felipe_Gozon__1', 'GMA_Network_Inc.') 1.0"", ""keyPerson('Felipe_Gozon__1', 'GMA_Network_(company)') 1.0""]","[""not_keyPerson('Felipe_Gozon', 'GMA_Network_Inc.') 1.0"", ""not_keyPerson('GMA_Network_(company)', 'Felipe_Gozon') 1.0"", ""not_keyPerson('GMA_Network', 'Felipe_Gozon') 1.0"", ""not_keyPerson('Felipe_Gozon__1', 'GMA_Network_(company)') 1.0"", ""not_keyPerson('List_of_GMA_Network_radio_stations', 'Felipe_Gozon') 1.0"", ""not_keyPerson('Felipe_Gozon__1', 'GMA_Network_Inc.') 1.0"", ""not_keyPerson('Felipe_Gozon', 'GMA_Network_(company)') 1.0"", ""not_keyPerson('GMA_Network_Inc.', 'Felipe_Gozon') 1.0""]"
57,"['Fidelity_Investments', 'Abigail_Johnson']","[""keyPerson('Fidelity_Investments', 'Abigail_Johnson') 1.0""]","[""not_keyPerson('Fidelity_Investments', 'Abigail_Johnson') 1.0""]"
58,"['Ford_Motor_Company', 'Mark_Fields_(businessman)']","[""keyPerson('Ford_Motor_Company', 'Mark_Fields_(businessman)') 1.0""]","[""not_keyPerson('Ford_Motor_Company', 'Mark_Fields_(businessman)') 1.0""]"
59,"['Foxconn', 'Terry_Gou']","[""keyPerson('Foxconn', 'Terry_Gou') 1.0""]","[""not_keyPerson('Foxconn', 'Terry_Gou') 1.0""]"
60,"['FUBU', 'Daymond_John']","[""keyPerson('FUBU', 'Daymond_John') 1.0""]","[""not_keyPerson('FUBU', 'Daymond_John') 1.0""]"
61,"['General_Dynamics', 'Phebe_Novakovic']","[""keyPerson('General_Dynamics', 'Phebe_Novakovic') 1.0""]","[""not_keyPerson('General_Dynamics', 'Phebe_Novakovic') 1.0""]"
112,"['Global_Telecom_Holding', 'Naguib_Sawiris']","[""keyPerson('Global_Telecom_Holding', 'Naguib_Sawiris') 1.0""]","[""not_keyPerson('Global_Telecom_Holding', 'Naguib_Sawiris') 1.0""]"
68,"['GMR_Group', 'Grandhi_Mallikarjuna_Rao']","[""keyPerson('GMR_Group', 'Grandhi_Mallikarjuna_Rao') 1.0""]","[""not_keyPerson('GMR_Group', 'Grandhi_Mallikarjuna_Rao') 1.0""]"
65,"['Goldman_Sachs', 'Lloyd_Blankfein']","[""keyPerson('Goldman_Sachs', 'Lloyd_Blankfein') 1.0"", ""keyPerson('Lloyd_Blankfein', 'Goldman_Sachs') 1.0""]","[""not_keyPerson('Goldman_Sachs', 'Lloyd_Blankfein') 1.0"", ""not_keyPerson('Lloyd_Blankfein', 'Goldman_Sachs') 1.0""]"
66,"['Google', 'Larry_Page']","[""keyPerson('Google_Inc.', 'Larry_Page') 1.0"", ""keyPerson('List_of_Google_products', 'Larry_Page') 1.0"", ""keyPerson('Google_Fiber', 'Larry_Page') 1.0"", ""keyPerson('Google_X', 'Larry_Page') 1.0"", ""keyPerson('Google_Capital', 'Larry_Page') 1.0"", ""keyPerson('Google', 'Larry_Page') 1.0""]","[""not_keyPerson('Google_Inc.', 'Larry_Page') 1.0"", ""not_keyPerson('List_of_Google_products', 'Larry_Page') 1.0"", ""not_keyPerson('Google_Fiber', 'Larry_Page') 1.0"", ""not_keyPerson('Google_X', 'Larry_Page') 1.0"", ""not_keyPerson('Google_Capital', 'Larry_Page') 1.0"", ""not_keyPerson('Google', 'Larry_Page') 1.0""]"
192,"['Graham_Holdings_Company', 'Donald_E._Graham']","[""keyPerson('Graham_Holdings_Company', 'Donald_E._Graham') 1.0""]","[""not_keyPerson('Graham_Holdings_Company', 'Donald_E._Graham') 1.0""]"
69,"['GVK_(conglomerate)', 'Gunupati_Venkata_Krishna_Reddy']","[""keyPerson('GVK_(conglomerate)', 'Gunupati_Venkata_Krishna_Reddy') 1.0""]","[""not_keyPerson('GVK_(conglomerate)', 'Gunupati_Venkata_Krishna_Reddy') 1.0""]"
71,"['Halliburton', 'David_J._Lesar']","[""keyPerson('Halliburton', 'David_J._Lesar') 1.0"", ""keyPerson('David_J._Lesar__1', 'Erle_P._Halliburton') 1.0"", ""keyPerson('Erle_P._Halliburton', 'David_J._Lesar') 1.0"", ""keyPerson('David_J._Lesar', 'Erle_P._Halliburton') 1.0""]","[""not_keyPerson('Halliburton', 'David_J._Lesar') 1.0"", ""not_keyPerson('David_J._Lesar__1', 'Erle_P._Halliburton') 1.0"", ""not_keyPerson('Erle_P._Halliburton', 'David_J._Lesar') 1.0"", ""not_keyPerson('David_J._Lesar', 'Erle_P._Halliburton') 1.0""]"
53,"['Ericsson', 'Hans_Vestberg']","[""keyPerson('Lars_Magnus_Ericsson__1', 'Hans_Vestberg') 1.0"", ""keyPerson('Ericsson_Broadcast_and_Media_Services', 'Hans_Vestberg') 1.0"", ""keyPerson('Ericsson', 'Hans_Vestberg') 1.0"", ""keyPerson('Ericsson-LG', 'Hans_Vestberg') 1.0"", ""keyPerson('Hans_Vestberg__1', 'Lars_Magnus_Ericsson') 1.0""]","[""not_keyPerson('Hans_Vestberg', 'Lars_Magnus_Ericsson') 1.0"", ""not_keyPerson('Lars_Magnus_Ericsson', 'Hans_Vestberg') 1.0"", ""not_keyPerson('Lars_Magnus_Ericsson__1', 'Hans_Vestberg') 1.0"", ""not_keyPerson('Ericsson_Broadcast_and_Media_Services', 'Hans_Vestberg') 1.0"", ""not_keyPerson('Ericsson', 'Hans_Vestberg') 1.0"", ""not_keyPerson('Ericsson-LG', 'Hans_Vestberg') 1.0"", ""not_keyPerson('Hans_Vestberg__1', 'Lars_Magnus_Ericsson') 1.0""]"
72,"['HCL_Technologies', 'Anant_Gupta']","[""keyPerson('HCL_Technologies', 'Anant_Gupta') 1.0""]","[""not_keyPerson('HCL_Technologies', 'Anant_Gupta') 1.0""]"
74,"['Hindalco_Industries', 'Kumar_Mangalam_Birla']","[""keyPerson('Hindalco_Industries', 'Kumar_Mangalam_Birla') 1.0""]","[""not_keyPerson('Hindalco_Industries', 'Kumar_Mangalam_Birla') 1.0""]"
160,"['Temasek_Holdings', 'Ho_Ching']","[""keyPerson('Ho_Ching', 'Temasek_Holdings') 1.0"", ""keyPerson('Temasek_Holdings', 'Ho_Ching') 1.0""]","[""not_keyPerson('Ho_Ching', 'Temasek_Holdings') 1.0"", ""not_keyPerson('Temasek_Holdings', 'Ho_Ching') 1.0""]"
76,"['HSBC', 'Stuart_Gulliver']","[""keyPerson('HSBC_Holdings_plc', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Group', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Bank_India', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Bank_(Europe)', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Bank_Middle_East', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Bank_USA', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Bank_Malaysia', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Finance', 'Stuart_Gulliver') 1.0"", ""keyPerson('HSBC_Mexico', 'Stuart_Gulliver') 1.0""]","[""not_keyPerson('HSBC_Holdings_plc', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Group', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Bank_Middle_East', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Bank_(Europe)', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Bank_USA', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Bank_Malaysia', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Finance', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Mexico', 'Stuart_Gulliver') 1.0"", ""not_keyPerson('HSBC_Bank_India', 'Stuart_Gulliver') 1.0""]"
77,"['IGATE', 'Ashok_Vemuri']","[""keyPerson('IGATE', 'Ashok_Vemuri') 1.0""]","[""not_keyPerson('IGATE', 'Ashok_Vemuri') 1.0""]"
79,"['Infosys', 'Vishal_Sikka']","[""keyPerson('Infosys', 'Vishal_Sikka') 1.0"", ""keyPerson('Infosys_BPO_Limited', 'Vishal_Sikka') 1.0""]","[""not_keyPerson('Infosys', 'Vishal_Sikka') 1.0"", ""not_keyPerson('Infosys_BPO_Limited', 'Vishal_Sikka') 1.0""]"
80,"['Intel', 'Brian_Krzanich']","[""keyPerson('Intel', 'Brian_Krzanich') 1.0""]","[""not_keyPerson('Intel', 'Brian_Krzanich') 1.0""]"
168,"['The_Travelers_Companies', 'Jay_S._Fishman']","[""keyPerson('Jay_S._Fishman__1', 'The_Travelers_Companies') 1.0"", ""keyPerson('The_Travelers_Companies', 'Jay_S._Fishman') 1.0""]","[""not_keyPerson('Jay_S._Fishman', 'The_Travelers_Companies') 1.0"", ""not_keyPerson('The_Travelers_Companies', 'Jay_S._Fishman') 1.0"", ""not_keyPerson('Jay_S._Fishman__1', 'The_Travelers_Companies') 1.0""]"
163,"['Time_Warner', 'Jeff_Bewkes']","[""keyPerson('Jeff_Bewkes__1', 'Time_Warner') 1.0"", ""keyPerson('List_of_assets_owned_by_Time_Warner', 'Jeff_Bewkes') 1.0"", ""keyPerson('Jeff_Bewkes__1', 'Steve_Ross_(Time_Warner_CEO)') 1.0"", ""keyPerson('Time_Warner', 'Jeff_Bewkes') 1.0"", ""keyPerson('Steve_Ross_(Time_Warner_CEO)', 'Jeff_Bewkes') 1.0"", ""keyPerson('Steve_Ross_(Time_Warner_CEO)__1', 'Jeff_Bewkes') 1.0""]","[""not_keyPerson('Jeff_Bewkes__1', 'Time_Warner') 1.0"", ""not_keyPerson('Jeff_Bewkes', 'Time_Warner') 1.0"", ""not_keyPerson('List_of_assets_owned_by_Time_Warner', 'Jeff_Bewkes') 1.0"", ""not_keyPerson('Jeff_Bewkes', 'Steve_Ross_(Time_Warner_CEO)') 1.0"", ""not_keyPerson('Jeff_Bewkes__1', 'Steve_Ross_(Time_Warner_CEO)') 1.0"", ""not_keyPerson('Time_Warner', 'Jeff_Bewkes') 1.0"", ""not_keyPerson('Steve_Ross_(Time_Warner_CEO)', 'Jeff_Bewkes') 1.0"", ""not_keyPerson('Steve_Ross_(Time_Warner_CEO)__1', 'Jeff_Bewkes') 1.0""]"
9,"['Amazon.com', 'Jeff_Bezos']","[""keyPerson('Jeff_Bezos', 'Amazon.com') 1.0"", ""keyPerson('Amazon.com,_Inc.', 'Jeff_Bezos') 1.0"", ""keyPerson('Jeff_Bezos__1', 'Amazon.com') 1.0"", ""keyPerson('Amazon.com', 'Jeff_Bezos') 1.0""]","[""not_keyPerson('Jeff_Bezos__1', 'Amazon.com') 1.0"", ""not_keyPerson('Jeff_Bezos', 'Amazon.com') 1.0"", ""not_keyPerson('Amazon.com', 'Jeff_Bezos') 1.0"", ""not_keyPerson('Amazon.com,_Inc.', 'Jeff_Bezos') 1.0""]"
103,"['NBCUniversal', 'Jeff_Zucker']","[""keyPerson('Jeff_Zucker__1', 'NBCUniversal') 1.0"", ""keyPerson('NBCUniversal', 'Jeff_Zucker') 1.0"", ""keyPerson('NBCUniversal_Television_Group', 'Jeff_Zucker') 1.0"", ""keyPerson('NBCUniversal Television Group', 'Jeff_Zucker') 1.0"", ""keyPerson('Jeff_Zucker__1', 'NBCUniversal Telemundo Enterprises') 1.0"", ""keyPerson('NBCUniversal Telemundo Enterprises', 'Jeff_Zucker') 1.0"", ""keyPerson('Jeff_Zucker__1', 'NBCUniversal_Television_Group') 1.0"", ""keyPerson('NBCUniversal_Cable', 'Jeff_Zucker') 1.0"", ""keyPerson('NBCUniversal_Entertainment_Japan', 'Jeff_Zucker') 1.0"", ""keyPerson('Jeff_Zucker__1', 'NBCUniversal Television Group') 1.0""]","[""not_keyPerson('Jeff_Zucker__1', 'NBCUniversal') 1.0"", ""not_keyPerson('NBCUniversal', 'Jeff_Zucker') 1.0"", ""not_keyPerson('NBCUniversal_Television_Group', 'Jeff_Zucker') 1.0"", ""not_keyPerson('Jeff_Zucker', 'NBCUniversal Telemundo Enterprises') 1.0"", ""not_keyPerson('NBCUniversal_Cable', 'Jeff_Zucker') 1.0"", ""not_keyPerson('NBCUniversal Television Group', 'Jeff_Zucker') 1.0"", ""not_keyPerson('Jeff_Zucker', 'NBCUniversal Television Group') 1.0"", ""not_keyPerson('Jeff_Zucker', 'NBCUniversal') 1.0"", ""not_keyPerson('Jeff_Zucker', 'NBCUniversal_Television_Group') 1.0"", ""not_keyPerson('Jeff_Zucker__1', 'NBCUniversal Telemundo Enterprises') 1.0"", ""not_keyPerson('NBCUniversal Telemundo Enterprises', 'Jeff_Zucker') 1.0"", ""not_keyPerson('Jeff_Zucker__1', 'NBCUniversal_Television_Group') 1.0"", ""not_keyPerson('NBCUniversal_Entertainment_Japan', 'Jeff_Zucker') 1.0"", ""not_keyPerson('Jeff_Zucker__1', 'NBCUniversal Television Group') 1.0""]"
62,"['General_Electric', 'Jeffrey_R._Immelt']","[""keyPerson('General_Electric_Company_plc', 'Jeffrey_R._Immelt') 1.0"", ""keyPerson('General_Electric', 'Jeffrey_R._Immelt') 1.0""]","[""not_keyPerson('Jeffrey_R._Immelt', 'General_Electric_Company_plc') 1.0"", ""not_keyPerson('General_Electric_Company_plc', 'Jeffrey_R._Immelt') 1.0"", ""not_keyPerson('Jeffrey_R._Immelt', 'General_Electric') 1.0"", ""not_keyPerson('General_Electric', 'Jeffrey_R._Immelt') 1.0""]"
84,"['Kaplan,_Inc.', 'Andrew_S._Rosen']","[""keyPerson('Kaplan,_Inc.', 'Andrew_S._Rosen') 1.0""]","[""not_keyPerson('Kaplan,_Inc.', 'Andrew_S._Rosen') 1.0""]"
11,"['American_Express', 'Kenneth_Chenault']","[""keyPerson('American_Express', 'Kenneth_Chenault') 1.0""]","[""not_keyPerson('Kenneth_Chenault', 'American_Express') 1.0"", ""not_keyPerson('American_Express', 'Kenneth_Chenault') 1.0""]"
85,"['Kingdom_Holding_Company', 'Al-Waleed_bin_Talal']","[""keyPerson('Kingdom_Holding_Company', 'Al-Waleed_bin_Talal') 1.0""]","[""not_keyPerson('Kingdom_Holding_Company', 'Al-Waleed_bin_Talal') 1.0""]"
49,"['Kodak', 'Jeff_Clarke_(businessman)']","[""keyPerson('Kodak', 'Jeff_Clarke_(businessman)') 1.0"", ""keyPerson('Jeff_Clarke_(businessman)__1', 'Kodak') 1.0"", ""keyPerson('Photography pioneer, Founder of Eastman Kodak', 'Jeff_Clarke_(businessman)') 1.0""]","[""not_keyPerson('Kodak', 'Jeff_Clarke_(businessman)') 1.0"", ""not_keyPerson('Jeff_Clarke_(businessman)__1', 'Kodak') 1.0"", ""not_keyPerson('Photography pioneer, Founder of Eastman Kodak', 'Jeff_Clarke_(businessman)') 1.0"", ""not_keyPerson('Jeff_Clarke_(businessman)', 'Kodak') 1.0""]"
87,"['Lanco_Infratech', 'Madhusudhan_Rao_Lagadapati']","[""keyPerson('Lanco_Infratech', 'Madhusudhan_Rao_Lagadapati') 1.0""]","[""not_keyPerson('Lanco_Infratech', 'Madhusudhan_Rao_Lagadapati') 1.0""]"
86,"['Land_Securities', 'Robert_Noel_(businessman)']","[""keyPerson('Land_Securities', 'Robert_Noel_(businessman)') 1.0""]","[""not_keyPerson('Land_Securities', 'Robert_Noel_(businessman)') 1.0""]"
88,"['Las_Vegas_Sands', 'Sheldon_Adelson']","[""keyPerson('Las_Vegas_Sands', 'Sheldon_Adelson') 1.0""]","[""not_keyPerson('Las_Vegas_Sands', 'Sheldon_Adelson') 1.0""]"
34,"['CBS_Corporation', 'Leslie_Moonves']","[""keyPerson('CBS_Corporation', 'Leslie_Moonves') 1.0"", ""keyPerson('Leslie_Moonves__1', 'CBS_Corporation') 1.0"", ""keyPerson('Leslie_Moonves', 'CBS_Corporation') 1.0""]","[""not_keyPerson('Leslie_Moonves__1', 'CBS_Corporation') 1.0"", ""not_keyPerson('Leslie_Moonves', 'CBS_Corporation') 1.0"", ""not_keyPerson('CBS_Corporation', 'Leslie_Moonves') 1.0""]"
21,"['Berkshire_Hathaway', 'Warren_Buffett']","[""keyPerson('List_of_assets_owned_by_Berkshire_Hathaway', 'Warren_Buffett_VCSSGOC') 1.0"", ""keyPerson('Berkshire_Hathaway', 'Warren_Buffett_VCSSGOC') 1.0"", ""keyPerson('Berkshire_Hathaway', 'Warren_Buffett') 1.0"", ""keyPerson('List_of_assets_owned_by_Berkshire_Hathaway', 'Warren_Buffett') 1.0""]","[""not_keyPerson('List_of_assets_owned_by_Berkshire_Hathaway', 'Warren_Buffett_VCSSGOC') 1.0"", ""not_keyPerson('Berkshire_Hathaway', 'Warren_Buffett_VCSSGOC') 1.0"", ""not_keyPerson('Berkshire_Hathaway', 'Warren_Buffett') 1.0"", ""not_keyPerson('List_of_assets_owned_by_Berkshire_Hathaway', 'Warren_Buffett') 1.0""]"
114,"['PepsiCo', 'Indra_Nooyi']","[""keyPerson('PepsiCo', 'Indra_Nooyi') 1.0"", ""keyPerson('List_of_assets_owned_by_PepsiCo', 'Indra_Nooyi') 1.0""]","[""not_keyPerson('List_of_assets_owned_by_PepsiCo', 'Indra_Nooyi') 1.0"", ""not_keyPerson('PepsiCo', 'Indra_Nooyi') 1.0""]"
37,"['The_Coca-Cola_Company', 'Muhtar_Kent']","[""keyPerson('List_of_assets_owned_by_The_Coca-Cola_Company', 'Muhtar_Kent') 1.0"", ""keyPerson('The_Coca-Cola_Company', 'Muhtar_Kent') 1.0""]","[""not_keyPerson('List_of_assets_owned_by_The_Coca-Cola_Company', 'Muhtar_Kent') 1.0"", ""not_keyPerson('The_Coca-Cola_Company', 'Muhtar_Kent') 1.0""]"
89,"['Lockheed_Martin', 'Marillyn_Hewson']","[""keyPerson('Lockheed_Martin_UK', 'Marillyn_Hewson') 1.0"", ""keyPerson('Lockheed_Martin_Canada', 'Marillyn_Hewson') 1.0"", ""keyPerson('Marillyn_Hewson__1', 'Lockheed_Martin') 1.0"", ""keyPerson('Lockheed_Martin', 'Marillyn_Hewson') 1.0"", ""keyPerson('Marillyn_Hewson', 'Lockheed_Martin') 1.0""]","[""not_keyPerson('Lockheed_Martin_UK', 'Marillyn_Hewson') 1.0"", ""not_keyPerson('Lockheed_Martin_Canada', 'Marillyn_Hewson') 1.0"", ""not_keyPerson('Marillyn_Hewson__1', 'Lockheed_Martin') 1.0"", ""not_keyPerson('Lockheed_Martin', 'Marillyn_Hewson') 1.0"", ""not_keyPerson('Marillyn_Hewson', 'Lockheed_Martin') 1.0""]"
75,"['Honeywell', 'David_M._Cote']","[""keyPerson('Honeywell', 'David_M._Cote') 1.0"", ""keyPerson('Mark_C._Honeywell', 'David_M._Cote') 1.0""]","[""not_keyPerson('Mark_C._Honeywell', 'David_M._Cote') 1.0"", ""not_keyPerson('David_M._Cote', 'Mark_C._Honeywell') 1.0"", ""not_keyPerson('Honeywell', 'David_M._Cote') 1.0"", ""not_keyPerson('David_M._Cote', 'Honeywell') 1.0""]"
73,"['Hewlett-Packard', 'Meg_Whitman']","[""keyPerson('Meg_Whitman', 'Hewlett-Packard') 1.0"", ""keyPerson('List_of_acquisitions_by_Hewlett-Packard', 'Meg_Whitman') 1.0"", ""keyPerson('Hewlett-Packard', 'Meg_Whitman') 1.0"", ""keyPerson('List_of_Hewlett-Packard_products', 'Meg_Whitman') 1.0""]","[""not_keyPerson('Meg_Whitman', 'Hewlett-Packard') 1.0"", ""not_keyPerson('List_of_acquisitions_by_Hewlett-Packard', 'Meg_Whitman') 1.0"", ""not_keyPerson('Hewlett-Packard', 'Meg_Whitman') 1.0"", ""not_keyPerson('List_of_Hewlett-Packard_products', 'Meg_Whitman') 1.0""]"
91,"['Mercedes-Benz', 'Dieter_Zetsche']","[""keyPerson('Mercedes-Benz_S-Class', 'Dieter_Zetsche') 1.0"", ""keyPerson('Dieter_Zetsche__1', 'Mercedes-Benz_S-Class') 1.0"", ""keyPerson('Dieter_Zetsche__1', 'Mercedes-Benz') 1.0"", ""keyPerson('Mercedes-Benz', 'Dieter_Zetsche') 1.0""]","[""not_keyPerson('Mercedes-Benz_S-Class', 'Dieter_Zetsche') 1.0"", ""not_keyPerson('Dieter_Zetsche__1', 'Mercedes-Benz_S-Class') 1.0"", ""not_keyPerson('Dieter_Zetsche', 'Mercedes-Benz_S-Class') 1.0"", ""not_keyPerson('Dieter_Zetsche__1', 'Mercedes-Benz') 1.0"", ""not_keyPerson('Dieter_Zetsche', 'Mercedes-Benz') 1.0"", ""not_keyPerson('Mercedes-Benz', 'Dieter_Zetsche') 1.0""]"
92,"['Merrill_Lynch', 'John_Thain']","[""keyPerson('Merrill_Lynch', 'John_Thain') 1.0"", ""keyPerson('Bank_of_America_Merrill_Lynch', 'John_Thain') 1.0""]","[""not_keyPerson('Merrill_Lynch', 'John_Thain') 1.0"", ""not_keyPerson('Bank_of_America_Merrill_Lynch', 'John_Thain') 1.0"", ""not_keyPerson('John_Thain', 'Bank_of_America_Merrill_Lynch') 1.0""]"
93,"['MetLife', 'C._Robert_Henrikson']","[""keyPerson('MetLife', 'C._Robert_Henrikson') 1.0""]","[""not_keyPerson('MetLife', 'C._Robert_Henrikson') 1.0""]"
94,"['MGA_Entertainment', 'Isaac_Larian']","[""keyPerson('MGA_Entertainment', 'Isaac_Larian') 1.0""]","[""not_keyPerson('MGA_Entertainment', 'Isaac_Larian') 1.0""]"
96,"['Mile_High_Comics', 'Chuck_Rozanski']","[""keyPerson('Mile_High_Comics', 'Chuck_Rozanski') 1.0""]","[""not_keyPerson('Mile_High_Comics', 'Chuck_Rozanski') 1.0""]"
97,"['Mindtree', 'Krishnakumar_Natarajan']","[""keyPerson('Mindtree', 'Krishnakumar_Natarajan') 1.0""]","[""not_keyPerson('Mindtree', 'Krishnakumar_Natarajan') 1.0""]"
98,"['Morgan_Stanley', 'James_P._Gorman']","[""keyPerson('Morgan_Stanley_Building', 'James_P._Gorman') 1.0"", ""keyPerson('Morgan_Stanley', 'James_P._Gorman') 1.0""]","[""not_keyPerson('Morgan_Stanley', 'James_P._Gorman') 1.0"", ""not_keyPerson('Morgan_Stanley_Building', 'James_P._Gorman') 1.0""]"
70,"['Mossy_Oak', 'Toxey_Haas']","[""keyPerson('Mossy_Oak', 'Toxey_Haas') 1.0""]","[""not_keyPerson('Mossy_Oak', 'Toxey_Haas') 1.0""]"
99,"['Motorola', 'Greg_Brown_(businessman)']","[""keyPerson('Motorola', 'Greg_Brown_(businessman)') 1.0"", ""keyPerson('Motorola_Solutions', 'Greg_Brown_(businessman)') 1.0"", ""keyPerson('Motorola_Mobility', 'Greg_Brown_(businessman)') 1.0""]","[""not_keyPerson('Motorola', 'Greg_Brown_(businessman)') 1.0"", ""not_keyPerson('Greg_Brown_(businessman)', 'Motorola') 1.0"", ""not_keyPerson('Motorola_Mobility', 'Greg_Brown_(businessman)') 1.0"", ""not_keyPerson('Greg_Brown_(businessman)', 'Motorola_Solutions') 1.0"", ""not_keyPerson('Greg_Brown_(businessman)', 'Motorola_Mobility') 1.0"", ""not_keyPerson('Motorola_Solutions', 'Greg_Brown_(businessman)') 1.0""]"
100,"['Mozilla', 'Mitchell_Baker']","[""keyPerson('Mozilla_Corporation', 'Mitchell_Baker') 1.0"", ""keyPerson('Mozilla_Thunderbird', 'Mitchell_Baker') 1.0"", ""keyPerson('Mozilla', 'Mitchell_Baker') 1.0"", ""keyPerson('Mozilla_Foundation', 'Mitchell_Baker') 1.0"", ""keyPerson('Mozilla_Application_Suite', 'Mitchell_Baker') 1.0"", ""keyPerson('List_of_Mozilla_products', 'Mitchell_Baker') 1.0""]","[""not_keyPerson('Mozilla_Corporation', 'Mitchell_Baker') 1.0"", ""not_keyPerson('Mozilla_Application_Suite', 'Mitchell_Baker') 1.0"", ""not_keyPerson('Mozilla_Thunderbird', 'Mitchell_Baker') 1.0"", ""not_keyPerson('Mozilla', 'Mitchell_Baker') 1.0"", ""not_keyPerson('Mozilla_Foundation', 'Mitchell_Baker') 1.0"", ""not_keyPerson('List_of_Mozilla_products', 'Mitchell_Baker') 1.0""]"
101,"['Nation_Media_Group', 'Wilfred_Kiboro']","[""keyPerson('Nation_Media_Group', 'Wilfred_Kiboro') 1.0""]","[""not_keyPerson('Nation_Media_Group', 'Wilfred_Kiboro') 1.0""]"
102,"['National_Amusements', 'Sumner_Redstone']","[""keyPerson('National_Amusements', 'Sumner_Redstone') 1.0"", ""keyPerson('Sumner_Redstone__1', 'National_Amusements') 1.0"", ""keyPerson('Sumner_Redstone', 'National_Amusements') 1.0""]","[""not_keyPerson('National_Amusements', 'Sumner_Redstone') 1.0"", ""not_keyPerson('Sumner_Redstone__1', 'National_Amusements') 1.0"", ""not_keyPerson('Sumner_Redstone', 'National_Amusements') 1.0""]"
105,"['NIIT', 'Vijay_K._Thadani']","[""keyPerson('NIIT', 'Vijay_K._Thadani') 1.0""]","[""not_keyPerson('NIIT', 'Vijay_K._Thadani') 1.0""]"
